rule,confidence
"IF ('C0040264', 'C1260880', 'C1384666') THEN C0029878",1.0
"IF ('C0040264', 'C0849907', 'C1384666') THEN C0029878",1.0
"IF ('C0013456', 'C0040264', 'C0849907', 'C1384666') THEN C0029878",1.0
"IF ('C0013456', 'C0040264', 'C0849907') THEN C0029878",1.0
"IF ('C0040264', 'C1384666') THEN C0029878",1.0
"IF ('C0013456', 'C0040264', 'C1384666') THEN C0029878",1.0
"IF ('C0849907', 'C1384666') THEN C0029878",1.0
"IF ('C0013456', 'C0849907', 'C1384666') THEN C0029878",1.0
"IF ('C0013456', 'C1384666') THEN C0029878",1.0
"IF ('C0013456', 'C0849907') THEN C0029878",1.0
"IF ('C0013456', 'C1260880') THEN C0029878",1.0
