rule,confidence
"IF ('C0085624', 'C0542301') THEN C0014868",1.0
"IF ('C0042963', 'C4048182') THEN C0014868",1.0
"IF ('C4048182', 'C4317146') THEN C0014868",1.0
"IF ('C0008031', 'C0232292', 'C4048182') THEN C0014868",1.0
"IF ('C0027497', 'C4048182') THEN C0014868",1.0
"IF ('C0008031', 'C0027497', 'C4048182') THEN C0014868",1.0
"IF ('C0008031', 'C4048182') THEN C0014868",1.0
"IF ('C0019521', 'C0085624') THEN C0014868",1.0
"IF ('C0019521', 'C0242429', 'C4317146') THEN C0014868",1.0
"IF ('C0019521', 'C1291077', 'C4317146') THEN C0014868",1.0
"IF ('C0019521', 'C4317146') THEN C0014868",1.0
"IF ('C0085624', 'C1291077') THEN C0014868",1.0
"IF ('C0085624', 'C1291077', 'C4317146') THEN C0014868",1.0
"IF ('C0221512', 'C1291077', 'C4317146') THEN C0014868",1.0
"IF ('C0027497', 'C1291077', 'C4317146') THEN C0014868",1.0
"IF ('C1291077', 'C4317146') THEN C0014868",1.0
"IF ('C0027497', 'C0085624', 'C4317146') THEN C0014868",1.0
"IF ('C0008031', 'C0085624') THEN C0014868",1.0
"IF ('C0085624', 'C0232292') THEN C0014868",1.0
"IF ('C0085624', 'C0221512') THEN C0014868",1.0
"IF ('C0085624', 'C4317146') THEN C0014868",1.0
"IF ('C0011991', 'C4317146') THEN C0014868",1.0
"IF ('C0008031', 'C0232292', 'C4317146') THEN C0014868",1.0
