rule,confidence
"IF ('C0015967', 'C0239978') THEN C0014335",1.0
"IF ('C0000737', 'C0221512') THEN C0014335",1.0
"IF ('C0000737', 'C0011991') THEN C0014335",1.0
"IF ('C0000737', 'C0011991', 'C0221512') THEN C0014335",1.0
"IF ('C0221512', 'C0577098') THEN C0014335",1.0
"IF ('C0011991', 'C0577098') THEN C0014335",1.0
"IF ('C0011991', 'C0015967', 'C3887784') THEN C0014335",1.0
"IF ('C0015967', 'C0042963', 'C3887784') THEN C0014335",1.0
"IF ('C0010200', 'C0011991', 'C3887784') THEN C0014335",1.0
"IF ('C1971624', 'C3887784') THEN C0014335",1.0
"IF ('C0011991', 'C1971624', 'C3887784') THEN C0014335",1.0
"IF ('C0042963', 'C3887784') THEN C0014335",1.0
"IF ('C0011991', 'C0042963', 'C3887784') THEN C0014335",1.0
"IF ('C0011991', 'C3887784') THEN C0014335",1.0
"IF ('C0011991', 'C0042963', 'C1971624') THEN C0014335",1.0
"IF ('C0011991', 'C0015967', 'C1971624') THEN C0014335",1.0
"IF ('C0010200', 'C0011991', 'C1971624') THEN C0014335",1.0
"IF ('C0011991', 'C0085593') THEN C0014335",1.0
"IF ('C0011991', 'C0027497', 'C0085593') THEN C0014335",1.0
"IF ('C0011991', 'C0015672') THEN C0014335",1.0
"IF ('C0011991', 'C0015967', 'C0027497', 'C0221512') THEN C0014335",1.0
"IF ('C0011991', 'C0027497', 'C0221512') THEN C0014335",1.0
"IF ('C0011991', 'C0027424') THEN C0014335",1.0
"IF ('C0011991', 'C1260880') THEN C0014335",1.0
"IF ('C0010200', 'C0011991', 'C1260880') THEN C0014335",1.0
"IF ('C0010200', 'C0011991', 'C0042963') THEN C0014335",1.0
"IF ('C0011991', 'C0015967', 'C0027497') THEN C0014335",1.0
