rule,confidence
"IF ('C0033774', 'C0332563') THEN C0011615",1.0
"IF ('C0015230', 'C0033774', 'C0235162') THEN C0011615",1.0
"IF ('C0015967', 'C0033774') THEN C0011615",1.0
