rule,confidence
"IF ('C0030252', 'C0270996') THEN C0040147",1.0
"IF ('C0009806', 'C0015672') THEN C0040147",1.0
"IF ('C0007859', 'C0426579') THEN C0040147",1.0
"IF ('C0015967', 'C0851578') THEN C0040147",1.0
"IF ('C0007859', 'C0015967', 'C0851578') THEN C0040147",1.0
"IF ('C0007859', 'C0030252', 'C0851578') THEN C0040147",1.0
"IF ('C0007859', 'C0851578') THEN C0040147",1.0
"IF ('C0007859', 'C0015672', 'C0851578') THEN C0040147",1.0
"IF ('C0015672', 'C0018021') THEN C0040147",1.0
"IF ('C0007859', 'C0018021', 'C0038990', 'C1971624') THEN C0040147",1.0
"IF ('C0007859', 'C0018021', 'C0030252', 'C0038990') THEN C0040147",1.0
"IF ('C0007859', 'C0018021', 'C0030252', 'C0038990', 'C1971624') THEN C0040147",1.0
"IF ('C0007859', 'C0015967', 'C0018021') THEN C0040147",1.0
"IF ('C0007859', 'C0018021', 'C0038990') THEN C0040147",1.0
"IF ('C0010200', 'C0018021') THEN C0040147",1.0
"IF ('C0007859', 'C0010200', 'C0018021') THEN C0040147",1.0
"IF ('C0018021', 'C1971624') THEN C0040147",1.0
"IF ('C0007859', 'C0018021', 'C1971624') THEN C0040147",1.0
"IF ('C0018021', 'C0242429') THEN C0040147",1.0
"IF ('C0007859', 'C0018021', 'C0242429') THEN C0040147",1.0
"IF ('C0007859', 'C0018021') THEN C0040147",1.0
"IF ('C0015967', 'C0038990') THEN C0040147",1.0
"IF ('C0007859', 'C0030252', 'C0038990', 'C1971624') THEN C0040147",1.0
"IF ('C0007859', 'C0015672', 'C0038990') THEN C0040147",1.0
"IF ('C0015672', 'C0030252', 'C0038990') THEN C0040147",1.0
"IF ('C0007859', 'C0038990') THEN C0040147",1.0
"IF ('C0030252', 'C0038990') THEN C0040147",1.0
"IF ('C0007859', 'C0030252', 'C0038990') THEN C0040147",1.0
"IF ('C0007859', 'C0015672', 'C0030252', 'C1971624') THEN C0040147",1.0
"IF ('C0007859', 'C0030252', 'C1971624') THEN C0040147",1.0
"IF ('C0007859', 'C0242429', 'C1971624') THEN C0040147",1.0
"IF ('C0007859', 'C1971624') THEN C0040147",1.0
"IF ('C0007859', 'C0010200', 'C0242429') THEN C0040147",1.0
"IF ('C0007859', 'C0010200', 'C0015672', 'C0015967') THEN C0040147",1.0
"IF ('C0007859', 'C0010200', 'C0015967') THEN C0040147",1.0
"IF ('C0015672', 'C0030252', 'C0242429') THEN C0040147",1.0
"IF ('C0007859', 'C0015672', 'C0030252', 'C0242429') THEN C0040147",1.0
"IF ('C0007859', 'C0015672', 'C0242429') THEN C0040147",1.0
"IF ('C0007859', 'C0015672', 'C0015967', 'C0242429') THEN C0040147",1.0
"IF ('C0007859', 'C0015967', 'C0242429') THEN C0040147",1.0
"IF ('C0007859', 'C0015967', 'C0030252') THEN C0040147",1.0
"IF ('C0007859', 'C0015672', 'C0015967', 'C0030252') THEN C0040147",1.0
"IF ('C0007859', 'C0015672', 'C0030252') THEN C0040147",1.0
"IF ('C0007859', 'C0015672') THEN C0040147",1.0
"IF ('C0007859', 'C0015672', 'C0015967') THEN C0040147",1.0
"IF ('C0007859', 'C0015967') THEN C0040147",1.0
"IF ('C0015672', 'C0015967', 'C0030252') THEN C0040147",1.0
"IF ('C0015967', 'C0030252') THEN C0040147",1.0
