rule,confidence
"IF ('C0022281', 'C0151827') THEN C0009763",1.0
"IF ('C0022281', 'C0242429') THEN C0009763",1.0
"IF ('C0022281', 'C0242429', 'C4074940') THEN C0009763",1.0
"IF ('C0022281', 'C0085636', 'C0242429', 'C4074940') THEN C0009763",1.0
"IF ('C0022281', 'C0085636') THEN C0009763",1.0
"IF ('C0022281', 'C0085636', 'C4074940') THEN C0009763",1.0
"IF ('C0085636', 'C4074940') THEN C0009763",1.0
"IF ('C0242429', 'C4074940') THEN C0009763",1.0
"IF ('C0022281', 'C4074940') THEN C0009763",1.0
